id_str,username,_text_src,rule_label,confidence,evidence_score,evidence_found,rule_reason
2058865205569069509,disneysprncs,"@kejaaanaaa egiluy gue jg mikir gt co, tpi tetep aja si gue nangis 1 jam, 1 jam lgi mikir bundir enaknya pake apaan🤑",Pertolongan Segera,0.9748019700762188,0.7655468528920955,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2047884077798428681,ppiyostudyjp,"@19BROMAN Kadang aku mikir kok mau ya bundir kan ga langsung mati pasti lewatin namanya sakit dlu, kejedot pintu aja sakit aplg ini kena batu. Ini alasan aku seputus asa apapun ga milih bundir. Aku takut sakit",Pertolongan Segera,0.9647646553170094,0.7309834501960062,"['Indikasi Krisis', 'Keputusasaan', 'Tekanan Emosional']",R1: Indikasi Krisis terdeteksi
2049431068634427719,enunndss,"@lrstdw_ @sbyfess Mbaa suwun bangettt sudah turut membuka mataku, BENER TENANN. Ex aku pas putus self harm ngancem bundir sampe nangis2 depan maknya, taunya sekarang masih idup dan lanjut folo cewe random WKWKWKKWKWKWWK.",Pertolongan Segera,0.9504869709461427,0.6954738606106152,"['Indikasi Krisis', 'Keputusasaan', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2055030921435414804,uletrokok,"Tunggu sampe lu dapet yang begini. Udah ngelakuin apapun yang gw bisa juga dianggapnya tetep kurang, masih ga considerate, gw yang harus paham terus. Mending bundir ege lama-lama. Lu mah enak ngetik doang. Segala hal yang terlalu diitu-itukan ga baik ege. 😂",Pertolongan Segera,0.9491883695863613,0.6927481998096813,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2059202242402738644,jenocutesy,"guys maaf ngecewain bgt, trnyata skor utbk ku ga nyampe 500.... 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 aku gatau skrg gmn aku kyknya bnrn mau bundir 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",Pertolongan Segera,0.9472234927250667,0.6887468912384728,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2058827389086679130,migoyangtelor,"hmdeeehhhh udh mclaren ga bener, snbt ga lolos apa gw bundir aja abis ini apa gmn hmzz.. lengkap udh penderitaan gw https://t.co/Vv3v32RxPx",Pertolongan Segera,0.9458218332781126,0.6859776215119796,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2053464451463184778,destipra22,"Menang dari judol, taunya malah habis. Anjir aku udh putus asa harus gimana lagi ya, rumah dibayarnya tgl 12. Jadi skrg tuh yang harus dibayar ada 8jt. Sumpah ya masa aku harus bundir gara-gara ini. Mana mau nikah pula bulan Oktober. Sumpah aku gk bohong. Bakal dicicil kalo ada.",Pertolongan Segera,0.9447583129303629,0.6839211272470879,"['Indikasi Krisis', 'Keputusasaan']",R1: Indikasi Krisis terdeteksi
2053143349830496318,wa_riri71699,cpt entotin gw sekarang juga kalo nggak gw bundir nih,Pertolongan Segera,0.9446001770475984,0.6836185346950185,"['Indikasi Krisis', 'Keputusasaan', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2054920281668620553,chocopayye,gatau deh hidup gw kalo gada manhwa bl dan series jomok kayanya gw udh bundir dh,Pertolongan Segera,0.943618399863086,0.6817578980416963,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional', 'Permintaan Bantuan']",R1: Indikasi Krisis terdeteksi
2058829617230930078,kejaaanaaa,Oh ternyata nangisnya 20 menit doang ya gua pikir langsung pengen bundir gt rasanya,Pertolongan Segera,0.9434134141281852,0.681373263127876,"['Indikasi Krisis', 'Keputusasaan', 'Gangguan Fungsi', 'Tekanan Emosional']",R1: Indikasi Krisis terdeteksi
